(2d, 7h, Td, Tc, Ts)
(3s, 4d, 8c, Jh, Ac)
(2s, 3s, 4d, 7h, 9h)
(2s, 4s, 8c, Qd, Qc)
(9d, Ks, Kc, Ad, Ah)
(5h, 7s, 8d, 9h, As)
(Ts, Jd, Qd, Kh, As)
(6d, 7d, 8d, Qh, Ah)
(4s, 4h, 7c, 9d, Js)
(5s, 6d, 6c, Jd, Js)
(4c, 5h, 7d, Th, Td)
(2c, 5d, 5h, 7c, Qc)
(7c, 8d, Td, Qh, Ah)
(2d, 4s, 9c, Th, Qs)
(6c, 8d, 9s, Qs, As)
(3s, 3d, 5s, 7c, Ac)
(2c, 3h, 6d, 6h, Qs)
(2h, 3s, 4d, 8c, Ks)
(2d, Jc, Js, Ks, As)
(3c, 5s, 7s, Js, Qs)
(3d, 4s, 6s, 9d, Jc)
(2d, 7s, Jd, Kc, Kd)
(6s, 8d, 9d, Js, Qd)
(4h, 5s, 6d, Jh, Qd)
(9s, Kd, Kc, As, Ah)
(2d, Jc, Qs, Kd, Ac)
(5s, 9d, 9c, Th, Js)
(3c, 7c, Qs, Kh, Kd)
(3c, 4d, 7c, Tc, Kd)
(3c, 9s, Td, Th, Ad)
(3d, 5s, 9h, Qs, As)
(3h, 8c, Js, Qh, Kd)
(3h, 7h, 7d, Jc, Qs)
(6c, 8s, 8d, 9h, Ac)
(3s, 4c, Qs, Kh, Kd)
(2c, 2h, 3d, Td, Jd)
(8d, 8c, 8s, Kc, Kd)
(2h, Th, Jd, Ac, Ad)
(6s, 7c, Tc, Jc, Qd)
(3c, 6h, 9d, Qd, Kh)
(5h, 7h, Tc, Jd, Ad)
(3d, 4d, 4h, 8d, Qh)
(2c, 4h, 7s, Qh, Ad)
(2s, 4s, Jc, Kh, As)
(7c, 7h, 8s, 9d, Jc)
(5c, 9c, 9d, Td, Jd)
(2d, 2c, 4c, 4h, As)
(3s, 4s, 8h, Th, Jd)
(Qc, Qd, Qh, As, Ad)
(5c, 7h, Ts, Jd, As)
(3d, Ts, Jh, Qc, Kc)
(2d, 4s, 4c, 7s, 8s)
(2d, 5c, 7c, Th, As)
(5h, 9d, Th, Qc, As)
(5h, 9c, Td, Qd, Ah)
(7d, Js, Qh, Kh, Ah)
(5s, 9d, 9h, Js, Kd)
(3s, 4c, 5c, Jd, Qs)
(5c, 8c, Qs, Ks, Ad)
(2c, 4s, 6s, 6c, Qh)
(4d, 5d, 9c, Qs, Kh)
(2s, 2h, 7s, 9c, Kd)
(4c, 6s, 7d, Jc, Jh)
(2c, 3c, 5d, 6c, Kd)
(4d, 8h, 9c, Jd, Ac)
(7d, 8c, 8h, 9h, Jh)
(3d, 6h, 8s, 8d, Qc)
(5d, 6h, 9d, 9c, Qs)
(4c, 5s, 7s, Tc, Ks)
(3s, 4h, 4s, 6d, 9s)
(9c, Qs, Kc, Ah, Ad)
(6s, Td, Ts, Ks, Kc)
(7s, 7h, 7d, 9h, Js)
(2d, 6s, 6d, 7d, Jc)
(5c, 6h, 8c, Jc, Qc)
(5h, 5c, 6h, Ks, Ac)
(3d, 3h, 6s, 6d, 7s)
(4s, 6s, 8h, Tc, Ks)
(4s, 6d, 6c, 8d, Kd)
(4c, 5c, 6s, 7c, 9s)
(3c, 5c, 6c, 9c, Tc)
(3s, 5h, 7d, 9c, Qh)
(7c, 8c, Jc, Qd, Kh)
(4h, 5h, 8c, Th, Td)
(5h, 6d, 7d, 8h, 9c)
(2d, 2h, 8s, 9s, Jd)
(3h, 7c, 7d, 8h, Kh)
(4s, 5d, 8c, 9s, Tc)
(2d, 5d, Ts, Td, Qc)
(2h, 4h, Th, Qc, As)
(6c, 7h, 8s, Kd, Ah)
(2h, 5d, 5h, 6d, Jh)
(2c, 4d, Jc, Jh, As)
(4s, 6s, Td, Qs, Qd)
(3c, Ts, Th, Qh, Ks)
(6d, Td, Jd, Kc, Ac)
(6d, 8c, Jh, Qc, As)
(2s, 4h, Th, Kh, Ad)
(5c, 8s, 9s, 9d, Th)
(2s, 9c, Tc, Js, Qh)
(2d, 4h, 9c, 9h, Ah)
(4h, 6d, 9s, Qc, Kc)
(3h, 4h, 6c, 9d, 9c)
(3s, 5h, 6h, 8d, Ad)
(3h, 4h, 6c, Kd, Kc)
(2s, 2c, 6h, Qd, Ah)
(7s, Th, Jd, Qh, Qc)
(7d, Ts, Qh, As, Ad)
(2h, 3h, 4h, 8h, Td)
(3s, 5s, 7d, 8s, 9h)
(2s, 3s, 8s, Jh, Kd)
(4d, 4c, 6c, 7d, 7h)
(4s, 6s, 7h, 8h, Qs)
(5c, 5h, 6h, Ac, As)
(6d, 9c, Jh, Qh, Kc)
(5s, 6h, 6c, Qh, Ad)
(3h, 7d, 7h, Jc, Qh)
(4d, 5h, 7s, 9c, Jh)
(4h, 6s, 7c, Jc, Ad)
(7h, 7c, Th, Qd, Kc)
(3c, 5h, 7s, 8s, Ah)
(3d, 4h, Th, Kd, As)
(3h, 3c, 9s, Kh, Ks)
(3c, 5c, 5s, Qs, As)
(5c, 5h, 6s, Tc, Kd)
(2c, 9s, Ts, Jc, Ad)
(3d, 5d, 8c, Jc, Ks)
(4d, 6d, 8c, 9h, Kh)
(4d, 8s, Td, Qh, Ac)
(3d, 6s, 6h, 7d, 9c)
(9d, 9c, Th, Td, Ac)
(4c, 5s, 8d, Jd, Qd)
(4h, 4d, 7h, 7c, Ks)
(2s, 2h, 6d, 6h, Tc)
(2s, 7h, 9d, Jd, Js)
(5d, 7c, 7s, 8s, Jh)
(5d, 6h, Ts, Jh, Ah)
(2h, 6c, Th, Qs, Kh)
(3d, 3s, Td, Jd, Qd)
(4d, 5h, 8s, Tc, Jc)
(2h, 4c, 4s, 4h, 5s)
(3d, 7c, Js, Qd, Kh)
(7h, 8h, 9c, 9s, Ks)
(3s, 5s, 5c, 7d, 8s)
(2s, 6c, Qc, Qd, Ac)
(7c, 9s, Qc, Qd, Ah)
(2h, 5d, 6d, 8s, 9s)
(2c, 7s, Qs, Kh, As)
(2s, 4h, 9d, Js, Ad)
(2s, 5c, 7s, Th, Kh)
(4s, 7d, 8s, Qc, Qh)
(5h, 6c, Js, Qc, Ac)
(3c, 7d, 8s, 9h, Kc)
(3s, 5h, 8d, Qh, Kh)
(2h, 8s, 9h, 9s, Tc)
(2c, 7d, 8c, Jh, Kc)
(2h, 2d, 3s, 5c, 9d)
(2d, 4d, 6s, 8h, Js)
(6c, 6s, 7c, 9h, Jd)
(2h, 4c, 4s, 5h, 9c)
(2s, 3d, Td, Jh, Jd)
(4c, 5d, 6h, Qd, As)
(3d, 4c, 6s, Qd, Kc)
(3s, 3d, 4c, Ks, Kd)
(2d, 3d, 4d, 4h, 5s)
(4c, 5c, 9s, Jd, Ah)
(2h, 3s, 5d, 7h, Kh)
(2c, 7s, Th, Qs, Ah)
(6s, Jc, Qh, Ad, Ac)
(3h, 7s, 7c, 7d, Td)
(4c, 8h, 9h, Td, Ah)
(6d, 7d, 8h, Js, Qd)
(2h, 4c, 5h, 9s, Kd)
(5h, 7d, 9c, Jh, Qc)
(2h, 6d, 9d, 9h, Ad)
(3s, 5s, 6c, 8h, Kh)
(4c, 5h, 7c, Js, Qs)
(3d, 6d, 6c, Kc, Ad)
(2c, 3h, 3c, 4h, 8h)
(2s, 6d, Qd, Ks, Kh)
(5s, 6s, Td, Ac, As)
(8d, 9c, Qc, Ks, Ad)
(2s, 3s, 7h, 9h, Ts)
(3s, 8d, 8c, Kd, Kc)
(2h, 5s, Tc, Qd, Kc)
(3d, 4c, 7h, Tc, Qh)
(2s, 5c, 5h, 6c, Td)
(4d, 6d, 6c, 8h, Ah)
(2h, 9c, 9s, Th, Qc)
(2c, 3d, 9s, 9d, Tc)
(3h, 7c, 9s, Jd, Qc)
(7c, Td, Jh, Qc, Kd)
(2h, 6h, Ts, Td, Qd)
(4h, 4c, 7c, Qs, Kc)
(2c, 3h, 8c, Th, Ac)
(2s, 5d, 5s, 6h, Kh)
(5c, 5s, 8h, 9s, Jd)
(7h, 7s, 9s, 9h, Ad)
(2h, 4h, 4c, Qs, Kd)
(7c, 8c, 9h, Tc, Ad)
(2s, 3h, 6d, 8c, Ac)
(3s, 5h, 6h, Tc, Qh)
(5d, 8c, 9c, Kc, Ah)
(5c, 6h, 9c, Js, Kh)
(5d, 5s, 9c, Qc, Ks)
(3h, 4d, 5d, 7h, Jh)
(2d, 3h, 9h, Tc, Qs)
(4s, 5c, 5d, 6h, Ts)
(4d, 5d, 6s, Jh, Kd)
(3h, 7s, Jc, Qd, Ad)
(3c, 7d, 8d, Jd, Qc)
(3d, 8h, 9h, Qs, Ad)
(3c, 8s, 8d, 9h, Ac)
(3c, 6s, 9c, Td, Jd)
(4s, 7d, 8h, Th, Qc)
(7d, 8d, Td, Kd, Ad)
(2c, 4d, 4h, 6c, 9s)
(4c, 8s, 8h, Th, Kc)
(2d, 9c, 9s, Jd, Kc)
(2d, 6s, 6c, 8s, Ad)
(2d, 2h, 6s, Jd, Qs)
(6h, 7d, Ts, Kc, Ac)
(7c, Td, Jc, Jd, Ah)
(5d, 5h, Jh, Qh, Qs)
(3s, 8h, Ts, Js, Qd)
(2c, 6c, Js, Jc, Qs)
(2d, 2s, 9s, Jc, Kh)
(3s, 3d, 4h, 5c, Ah)
(Jc, Js, Kd, Kh, Ac)
(2d, 4h, 6d, 6c, 7s)
(2c, 7s, Ts, Qh, Ac)
(3c, 5s, 6h, 7s, 9d)
(3c, 7d, 8h, 9h, Js)
(2h, 2s, 3c, 5d, Ah)
(2d, 4d, 6h, 6d, Qd)
(5s, 6c, Th, Jc, Qc)
(6c, 8d, Th, Kh, Ac)
(2d, 5h, 5c, 7c, Jc)
(3s, 5c, 9c, Ks, As)
(3h, 6d, Jd, Qs, Qh)
(6h, 7d, Tc, Td, Kh)
(7c, 8s, Tc, Jh, Ks)
(2d, 5s, 8h, 9s, As)
(7s, 8h, Jc, Ks, Ac)
(2h, 4s, 6d, 7c, 7d)
(2s, 3d, 3s, 7d, Ad)
(4c, 6h, Td, Kd, Kc)
(3d, 9s, 9h, Qh, Ad)
(6c, 8h, 8d, Jh, Qh)
(5c, 8c, 9s, Ts, Kh)
(3s, Tc, Ts, Qd, Qs)
(2s, 2h, 6d, Kc, Ad)
(5s, 6c, 6h, 8d, Qd)
(4h, 8d, Th, Js, Ac)
(9c, 9s, Jh, Jc, Kd)
(2c, 3h, 8s, Jc, Kh)
(5h, 8c, Tc, Td, Ks)
(2s, 3c, 5d, 7h, Td)
(4h, 9h, Jd, Js, Qh)
(3d, Th, Jc, Qs, As)
(8d, Tc, Jd, Qh, Kh)
(2c, 6h, 8d, Jd, Qs)
(2h, 3s, 4s, 5h, 8s)
(2s, 2c, 4h, 6d, Qc)
(3s, 5c, 6c, Ks, Ac)
(5d, 8d, Kc, Ac, Ad)
(6c, 9s, Js, Ks, As)
(2h, 3c, 7c, 9h, Qd)
(8s, 9d, Js, Qc, Kc)
(5d, 7d, Qd, Qs, Qh)
(2d, 4h, Js, Ks, Ac)
(5s, 7d, 8h, 8s, Td)
(4h, 5c, 6c, 8h, Th)
(2c, 2h, 5d, 8d, Kc)
(4h, 6s, 6c, 7h, Td)
(3s, 6s, 9s, Td, Jh)
(2d, 7c, Td, Jd, Ac)
(5h, 6d, Th, Jh, Qc)
(3h, 4c, 5c, 8h, Ac)
(4s, 5c, Th, Qs, Ks)
(5c, 8d, 8s, 9d, Kc)
(4s, 5h, 7d, 8h, 9d)
(2c, 9c, 9s, Ts, Ac)
(3h, 4s, 5d, Jh, Ks)
(2s, 3h, 5c, 6s, Th)
(3c, 5s, 5c, 7c, Tc)
(4s, Jc, Qc, Qs, Qh)
(3h, 5h, 6c, Qc, Kh)
(3c, 6c, Jc, Jd, Jh)
(2d, 4s, 5c, 6c, Ks)
(7h, 9d, 9s, Ts, Ac)
(2s, 3h, 4h, Td, Tc)
(3c, 5s, 6h, Tc, Ad)
(2h, 4c, 4d, 8d, Ah)
(5s, 6s, 7d, 8h, Js)
(4c, 9d, Td, Tc, Kd)
(2c, 3h, 8s, Jc, Kc)
(4s, 7s, 9s, Qs, Ad)
(2d, 7d, Jh, Jc, Ac)
(4s, 8h, Jh, Qd, Ah)
(4s, 5d, 6h, 7d, 8s)
(6s, 7c, 8h, 9d, Ks)
(2d, 5c, Jc, Kd, Ad)
(2c, 6s, 9c, 9d, Ts)
(3d, 4s, 5h, Jd, Kc)
(3s, 6d, 7c, Qh, Ad)
(5d, 6d, 7d, 7h, Ac)
(3c, 4h, 5h, 7s, Ac)
(3d, 6h, 7s, Td, Jh)
(3d, 4s, 7c, 7d, Qd)
(3h, 7c, 7d, 8s, Kc)
(4s, 4d, 6c, 7c, Jc)
(8h, 9h, Qc, Qd, Kd)
(2s, 2c, 3d, 8c, Qh)
(3s, 4h, 5d, 5c, 7d)
(5d, 7h, Td, Ts, As)
(3d, 6d, 8c, 8h, Jd)
(4c, 7s, 8d, Ts, Js)
(2c, Th, Jd, Jh, Kh)
(3d, 3c, 4h, 4s, Qd)
(2h, 4c, 6d, Ts, Qh)
(2s, 8d, Th, Jh, Ad)
(5c, 6d, 8s, 9d, 9h)
(2s, 5h, 5s, Kh, As)
(3s, 3d, 4s, 7s, Jh)
(4h, 4c, Th, Qs, Ad)
(5d, Td, Qh, Ad, Ac)
(3s, 5h, 6s, 9d, Jc)
(2c, 6h, 9s, 9h, Ks)
(4s, 4h, 8s, 9h, Js)
(3c, 3h, 9h, 9d, Qc)
(4h, 5c, 6h, 9h, Ks)
(5h, 5d, 8c, 8d, Ad)
(2s, 4h, 4c, Qs, Ad)
(3d, 7s, 8s, 9h, Th)
(4c, 7c, Jc, Jh, Ks)
(2s, 2c, 9c, Tc, Ad)
(2s, 2c, 4s, Th, Kc)
(3h, 7h, Jc, Qh, Ad)
(2h, 5d, 5c, 7d, Th)
(3h, 4c, 9d, 9h, Qc)
(3s, 6d, 7h, Ts, Qd)
(2c, 4s, 5h, 6c, 7d)
(3c, 7h, Tc, Ks, Ah)
(2h, 5d, Jc, Qh, Qd)
(4h, 4d, 5s, 9d, Ks)
(5h, 6c, 7s, 8d, Ts)
(7h, 7c, 8h, Js, Ac)
(3d, 3h, 7d, 8c, Js)
(3d, 4h, 8s, Kh, Ks)
(6h, 7s, 8h, Jh, Jd)
(3s, 5d, 9c, Ts, Td)
(5h, 6d, Ts, Js, Qc)
(7d, Td, Ks, Kc, As)
(2h, 4c, Tc, Jd, Qh)
(2s, 9d, Tc, Jc, Qh)
(6s, 7h, 8c, Ts, Qc)
(3c, 6d, 6h, 7h, Ac)
(3d, 9s, Tc, Kc, Kh)
(8c, 9h, 9s, Jh, Qc)
(3c, 7s, 7h, Js, Qc)
(2d, 3c, 4c, Tc, Qh)
(6d, 8s, 9c, Qc, Qh)
(5s, 6c, Ks, Kd, Ac)
(4d, 8h, 9d, 9c, Kc)
(2c, 2d, 3c, 8d, Ad)
(5h, 8d, Jd, Qh, As)
(3h, 4h, 7c, Td, Qs)
(2h, 4h, 9s, Jh, Qs)
(3s, 6s, 8h, Ks, Ah)
(6s, 6d, 8s, Tc, Qh)
(3d, 4h, Tc, Qc, Kd)
(4c, 5d, 7s, 9d, As)
(2s, 4d, 4c, 7d, 7h)
(2c, 3s, 6h, 6s, Jd)
(2s, 7c, 8d, Jc, Qh)
(4d, 4s, 5c, 7s, Jh)
(5s, Th, Td, Qc, Kd)
(4c, 5d, 8d, Qs, Ah)
(5h, Jc, Js, Kh, As)
(2h, 6s, 9d, Qd, Ac)
(2d, 4d, 5h, Qd, Ks)
(4d, 5c, 6h, 9h, Qc)
(4h, 5s, 6s, 8d, Kd)
(4d, 5d, Qh, As, Ah)
(4s, 6d, 8c, Jc, Qs)
(3s, 4c, 6d, 7s, Jh)
(4h, 8h, Js, Jd, Qh)
(2d, 4d, 5h, 8h, Ad)
(3s, 9h, Kc, Kd, As)
(6d, 7s, 9c, Qc, Ad)
(2s, 5h, 8d, 9s, Js)
(2h, 4d, 7c, 9c, Ks)
(4d, 5c, 6h, 8d, 9s)
(5h, 7c, 8d, 9h, Th)
(4h, 5c, 8c, Tc, Ks)
(4c, 8h, 8d, Qh, Ad)
(3h, 9c, Td, Th, Kd)
(2s, 4s, 5s, 9d, Tc)
(4d, 4h, 8s, Td, Qd)
(2c, 5c, Qc, As, Ah)
(3s, 5c, 8h, 9h, Tc)
(8c, Jc, Js, Ah, Ac)
(3s, 5d, 7d, 9d, 9s)
(2d, 9c, 9h, Ts, Qc)
(2c, 3h, 6s, 8c, Ac)
(3d, 4c, 5s, Jc, Jh)
(2s, 5c, Ts, Ac, Ah)
(5d, 6d, Td, Qc, Qd)
(3d, 5c, Tc, Kh, As)
(2d, 4d, 6s, 7d, Jd)
(4d, 5h, 6h, Ah, Ac)
(3s, 3h, 5s, 9d, Jd)
(2s, 8c, 9h, Td, Kd)
(2s, 3d, 4d, 7h, Qd)
(2c, 7c, 8d, Tc, Th)
(2c, 5c, 9s, Ts, Jc)
(7s, 9s, Jh, Qd, Ac)
(3c, 3s, 5c, 6d, Ah)
(3c, 4h, 6h, Jc, Qs)
(2d, 2h, 7c, 9s, As)
(2s, 8h, Tc, Qd, Ac)
(7h, 9s, 9h, Jd, Qd)
(7h, 8d, 9c, Jc, Kh)
(2c, 4d, 8c, 9h, Qh)
(8s, 9h, Td, Kh, Ah)
(2c, 4s, Th, Tc, Qd)
(5h, 6c, 8h, 9c, Ad)
(5s, 5c, Qd, Qc, As)
(4d, 6c, 7s, Kc, Ks)
(2s, 4d, 4c, Js, Qd)
(6c, 6h, 7d, Td, Jh)
(5c, 7h, Js, Qs, Qh)
(2d, 4d, 4h, Qs, Ac)
(5d, 7s, Ts, Jc, Qh)
(2c, 3h, 7s, Js, Ad)
(6h, 7h, 8d, 9d, Ks)
(4c, 5s, Jh, Kh, As)
(4c, 5d, 6h, Qd, Qc)
(2c, 3d, 5s, 7s, Jd)
(3s, 8c, 9d, Jd, As)
(2d, 7s, 7c, Ks, As)
(2c, Qd, Qc, Kh, Kc)
(2s, 4d, 5c, 7s, 8s)
(2d, 5d, 6s, 8c, Tc)
(2d, 5d, 6h, 6s, 7h)
(5d, 6h, 7s, 9d, Th)
(4h, 7c, 8d, 8h, Qh)
(2h, Jd, Kh, Ks, Ad)
(3c, 4h, 5d, Tc, Jc)
(5s, 6h, 7h, Jh, Jc)
(2h, 3h, Jd, Ks, Ah)
(4c, 6c, 9d, Qd, Qc)
(6s, Js, Qc, As, Ah)
(4s, 4c, 8h, 9d, Jc)
(4s, 7d, 8s, Td, Kd)
(4c, 5s, 7h, 7c, Js)
(4c, 5c, Tc, Js, Qh)
(2d, 3h, 4d, 7d, 9h)
(3c, 4h, Jd, Kd, Ad)
(2d, 4c, 9d, Tc, Kh)
(5d, 9h, Td, Js, Kh)
(6h, Ts, Qh, Kd, As)
(5h, 8h, 9c, 9s, Td)
(3d, 7d, Js, Ks, Ah)
(5d, Ts, Tc, Qh, Ac)
(6h, Jd, Jc, Qs, Ks)
(2h, 3s, 7s, Qh, Ah)
(2h, 6d, 6c, 7d, Jd)
(3d, 7c, Qd, Ks, Ac)
(2s, 5d, 5c, 9s, 9c)
(3s, 6d, Jh, Qd, Kd)
(7s, 9d, Jh, Qh, Ks)
(2c, 3h, 3s, Qd, Kd)
(3s, 5s, Kd, Kh, Ac)
(3d, 5h, Kh, Ad, As)
(6d, 8c, Jd, Kd, Kc)
(4s, 6h, Th, Qh, Kc)
(9h, Qh, Qd, Ah, Ac)
(4s, 5h, Jh, Qh, Qs)
(2d, 4d, 5d, Jc, Qh)
(4h, 4c, 5d, Qh, Kh)
(3s, 5h, 7s, 7d, 8s)
(2s, 7s, 9c, Th, Qd)
(6h, 7h, 7c, 8d, Qc)
(3s, 5c, 5d, 8d, Kd)
(3c, 4c, 5s, 7h, Th)
(4d, 8c, 9h, Qd, Kh)
(4s, 4d, 6h, Jd, Qd)
(3d, 6h, 9h, 9s, Jc)
(3c, 4h, 6d, 9s, Ts)
(4c, 4h, 7h, 8s, 8d)
(2c, 3h, 6h, Ac, Ad)
(6h, 7s, 8c, Tc, Qd)
(5s, 8d, 9d, Td, Ac)
(5s, 6d, Th, Tc, Ks)
(2c, 4h, 6h, Jd, Ad)
(3s, 4d, 5d, 6d, 8c)
(8c, 9d, Ts, Tc, As)
(6h, 8s, 9h, Jc, Kc)
(2h, 4d, 4h, 6c, Ac)
(2c, 4s, 6c, 9h, Ah)
(5h, 9d, 9h, Jd, Kc)
(3h, 4d, 8d, Kh, Ah)
(4s, 5h, 8s, 8h, Tc)
(2h, Ts, Qh, Kh, Ks)
(2s, Tc, Ts, Jc, Ks)
(4c, 4s, 8d, Qc, As)
(3c, 5c, 7h, 7c, Td)
(2h, 3h, 7d, Td, Qs)
(3h, 4s, 5h, 6c, 9s)
(3d, 5h, 6d, 6s, Qc)
(6c, 7c, Th, Js, Qs)
(7d, 8c, 9c, Qs, As)
(2s, 3s, 3c, 6h, Ac)
(2d, 7s, 8h, Jh, Qd)
(3h, 6d, 8s, Kc, Ac)
(5d, 6s, 8h, Kc, As)
(4d, 6d, 9c, Td, Jd)
(5d, 6s, Qh, Qd, Kc)
(2h, 7d, 9h, Th, Ts)
(2d, 6h, 8c, 9s, Ts)
(4d, 7h, Th, Js, Kd)
(6c, Tc, Ks, Kd, Ac)
(2d, 4c, 9c, Qs, Ad)
(5s, 6s, 9d, Qc, Ks)
(4s, 8d, 9d, 9c, Ah)
(4d, 7d, 9d, Jd, Qs)
(2c, 7s, 9d, 9c, As)
(3h, 7c, Jd, Jc, Qs)
(2d, 4h, 5h, 5c, Kc)
(3h, 7s, 7h, 9s, As)
(3d, 8s, Qd, Ac, Ah)
(2d, 3h, 8d, 9h, Ts)
(3d, 8h, 9s, Jd, Kc)
(5h, 5d, 5s, 6c, Qs)
(6c, 7c, 7d, Jc, Ks)
(3s, 8s, 9c, Ts, Jh)
(6h, 8d, Th, Td, Qs)
(5h, 8s, 8c, Qc, Kd)
(3s, 5c, 7c, 7s, Jc)
(4s, 5c, 7c, Td, Jc)
(4h, 5s, 9d, Th, Ad)
(4h, Td, Qh, Ac, As)
(2s, 5h, 5s, 7d, Qh)
(3d, 5s, 6s, 9h, Td)
(5h, 6d, 6s, Ts, Qc)
(2h, 7h, 9s, Jd, Ks)
(4d, 6d, 6s, 7s, 8s)
(4s, 6c, 8c, Th, Qs)
(8s, 8c, Tc, Td, Qs)
(3d, 7s, 7h, 8s, Ad)
(2c, 5h, Th, Qd, As)
(2h, 6c, 7d, 7c, Ac)
(4h, 4d, 8d, Kh, As)
(6c, Ts, Qc, Qd, Ks)
(4h, 5c, 6d, 8h, Kd)
(2s, 3h, 4h, Tc, Kd)
(2h, 3c, 6s, Ac, As)
(2d, 4d, 5c, 5d, Ts)
(2c, 5c, 8h, 8c, Jh)
(3d, 4d, 9d, 9s, Ac)
(2c, 5c, 7d, 8s, Tc)
(4c, 6s, Tc, Qd, Ks)
(3d, 7d, 9h, Ts, Ks)
(2h, 3c, 5s, Jh, Ks)
(3s, 4h, 4c, 6s, 7s)
(2c, 4d, 6d, 9s, Qd)
(4c, 4s, 8s, 9h, Qh)
(5s, 6d, 7c, 7h, 9s)
(3c, 3d, 4d, 6s, 8c)
(2h, 2s, 6c, 9h, Qc)
(4h, 5s, 7c, Ks, Ah)
(2s, 4d, 8c, As, Ac)
(2d, 3d, 9h, Tc, As)
(7c, 7s, 7h, Th, Qc)
(5h, 7d, 9d, Js, Ah)
(3d, 4c, 9d, Ad, Ah)
(3h, 6s, 7h, Qc, Kd)
(5c, 5d, 6d, Ts, Kd)
(3h, 5s, 6d, Qs, Qh)
(3d, 4d, 5c, Jd, As)
(5c, 6h, 6c, Qh, Ac)
